Street;City;propertycard__detailvalue;quartos;banheiros;vagas;price
Rua Serra de Botucatu, 993 ; Vila Gomes Cardim, São Paulo ;120;3;2;2;R$ 1.100.000
Rua Andrade Neves, 37 ; Bela Aliança, São Paulo ;502;4;6;4;R$ 2.985.000
Rua Japeacaba ; Vila Albertina, São Paulo ;268;3;6;4;R$ 1.700.000
Rua Senador Vergueiro ; Santo Amaro, São Paulo ;355;4;7;4;R$ 3.100.000
Rua dos Plátanos ; Cidade Jardim, São Paulo ;1195;4;4;6;R$ 8.700.000
Parque da Lapa, São Paulo ; SP;220;4;4;3;R$ 849.000
Rua Domingos Menezes, 179 ; Vila Libanesa, São Paulo ;320;5;4;6;R$ 890.000
Rua Manuel Monteiro ; Cidade Domitila, São Paulo ;180;3;3;4;R$ 550.000
Rua Serra da Sentinela ; Vila Nova Savoia, São Paulo ;325;4;6;3;R$ 1.650.000
Avenida Maria Estela ; Jardim Maria Estela, São Paulo ;110;2;1;1;R$ 445.000
Rua Professor Ciro Formicola, 203 ; Parque São Rafael, São Paulo ;125;2;1;2;R$ 425.000
Rua Elias Gannam, 53 ; Vila Bandeirantes, São Paulo ;120;2;3;2;R$ 500.000
Rua Zacarias de Gois, 431 ; Parque Colonial, São Paulo ;138;3;1;3;R$ 1.060.000
Rua Gregório Paes de Almeida ; Vila Madalena, São Paulo ;401;5;9;4;R$ 3.890.000
Avenida das Magnólias ; Cidade Jardim, São Paulo ;420;4;4;4;R$ 2.200.000
Rua Mata Machado ; Vila Califórnia, São Paulo ;260;4;4;4;R$ 1.250.000
Rua Alfonso de Albuquerque ; Jardim das Imbuias, São Paulo ;200;3;5;3;R$ 1.250.000
Rua Vicente Góes e Aranha, 587 ; Vila Tramontano, São Paulo ;463;4;6;6;R$ 2.200.000
Avenida Presidente Tancredo Neves, 668 ; Vila Nancy, São Paulo ;132;2;1;1;R$ 390.000
Rua Antônio Assumpção, 225 ; Parada Inglesa, São Paulo ;154;2;4;4;R$ 650.000
Rua Lauro Luchesi ; Jardim Leonor Mendes de Barros, São Paulo ;300;4;4;3;R$ 1.600.000
Rua Artur Montenegro, 9;A ;250;2;2;2;R$ 370.000
Avenida Dom Rodrigo Sanches, 828 ; Jardim Amália, São Paulo ;120;2;2;1;R$ 130.000
Rua Domingos de Braga, 7 ; Vila dos Remédios, São Paulo ;110;3;3;2;R$ 545.000
Rua Kansas ; Brooklin Paulista, São Paulo ;180;3;3;3;R$ 1.100.000
Rua Comendador Armando Pereira, 309 ; Tremembé, São Paulo ;151;3;3;8;R$ 520.000
Rua Santo Adauto ; Vila Minerva, São Paulo ;170;3;2;2;R$ 325.000
Rua dos Maracujás ; Vila Mazzei, São Paulo ;211;4;7;8;R$ 890.000
Avenida Raimundo Pereira de Magalhães, 6000 ; Pirituba, São Paulo ;102;3;4;2;R$ 409.000
Rua Nicolau Barreto ; Vila Cordeiro, São Paulo ;177;3;5;2;R$ 1.500.000
Chácara Santo Antônio (Zona Sul), São Paulo ; SP;190;2;2;2;R$ 1.100.000
Jardim Guedala, São Paulo ; SP;650;4;6;4;R$ 5.500.000
Rua Tomé Souza, 182 ; Santa Cruz dos Lázaros, Jacareí ;126;3;2;2;R$ 312.000
Rua Salvador Fontoura ; Parque Boturussu, São Paulo ;210;3;2;6;R$ 250.000
Vila Arriete, São Paulo ; SP;200;4;3;2;R$ 775.000
Rua Inglaterra ; Jardim Europa, São Paulo ;200;3;3;2;R$ 13.000
Rua Peribebuí ; Alto da Lapa, São Paulo ;440;4;6;7;R$ 2.200.000
Avenida João XXIII, 925 ; Vila Formosa, São Paulo ;225;2;2;2;R$ 780.000
Rua Taiaçupeba ; Quinta da Paineira, São Paulo ;350;3;5;6;R$ 980.000
Rua Coronel Virgílio dos Santos, 271 ; Vila Jaguara, São Paulo ;220;3;3;2;R$ 750.000
Rua Áurea Graciliana Dias, 101 ; Condomínio Residencial Monaco, São José dos Campos ;249;4;3;2;R$ 1.290.000
Rua da Paz, 89 ; Alto da Boa Vista, São Paulo ;386;4;4;5;R$ 1.680.000
Rua Major Alfredo Romão, 92 ; Vila Clarice, São Paulo ;99;3;2;2;R$ 650.000
Rua Bolívia ; Jardim América, São Paulo ;663;4;7;6;R$ 14.500.000
Rua General Fonseca Teles ; Jardim Paulista, São Paulo ;420;4;6;3;R$ 8.700.000
Rua Pataíba, 89 ; Tucuruvi, São Paulo ;211;3;3;3;R$ 1.237.000
Rua Doutor Milton de Souza Meirelles, 364 ; Parque Continental, São Paulo ;180;3;4;4;R$ 950.000
Avenida Amador Bueno da Veiga, 3272 ; Penha de França, São Paulo ;150;4;1;5;R$ 510.000
Rua Maria Tereza Farabulini Rodrigues ; Parque Continental, São Paulo ;200;3;5;3;R$ 1.500.000
Rua Doutor Franco da Rocha ; Perdizes, São Paulo ;452;4;6;2;R$ 4.240.000
Rua Caetano Braga ; Conjunto Residencial José Bonifácio, São Paulo ;129;3;2;2;R$ 490.000
Rua Francisco de Paula Brito ; Planalto Paulista, São Paulo ;250;3;4;4;R$ 2.190.000
Rua dos Comerciários ; Cidade Vargas, São Paulo ;250;3;3;5;R$ 2.180.000
Rua Francisco Correia Dutra ; Jardim Maria Luiza, São Paulo ;152;2;3;2;R$ 398.000
Rua Joaquim de Almeida ; Mirandópolis, São Paulo ;192;4;2;2;R$ 950.000
Rua Elisa Rodrigues ; Planalto Paulista, São Paulo ;184;4;3;4;R$ 1.390.000
Rua José Sebastião de Sá ; Jardim do Carmo, São Paulo ;100;2;2;1;R$ 530.000
Rua Amandaba ; Jardim Prudência, São Paulo ;253;4;4;2;R$ 1.280.000
Rua Cordisburgo, 251 ; Jardim Leonor, São Paulo ;850;4;8;6;R$ 6.500.000
Estrada José Ribeiro Leite, 413 ; Ipatinga, Sorocaba ;47;2;1;1-2;R$ 188.200
Rua Carlos Rath, 103 ; Alto de Pinheiros, São Paulo ;400;5;4;4;R$ 2.900.000
Alto de Pinheiros, São Paulo ; SP;358;4;4;4;R$ 3.500.000
Rua Luís Ramos Figueira ; Vila Suzana, São Paulo ;140;3;4;2;R$ 775.000
Rua dos Aliados ; Alto da Lapa, São Paulo ;500;5;7;7;R$ 3.500.000
Planalto Paulista, São Paulo ; SP;119;2;2;2;R$ 670.000
Jardim Guedala, São Paulo ; SP;650;4;7;4;R$ 3.500.000
Rua Benedito Antonio de Campos, 221 ; Residencial de Lorenzi, Boituva ;78;2;2;1;R$ 298.000
Rua Doutor Nicolau Asprino Júnior ; Vila Brasílio Machado, São Paulo ;250;3;3;3;R$ 1.500.000
Rua José Barbosa, 186 ; Jardim das Vertentes, São Paulo ;84;3;3;2;R$ 470.000
Rua Iagari ; Alto da Lapa, São Paulo ;243;3;5;3;R$ 2.400.000
Rua Júlio Rua Perez, 16 ; Campo Belo, São Paulo ;145;4;3;2;R$ 1.350.000
Rua Marechal Barbacena, 1392 ; Vila Regente Feijó, São Paulo ;150;3;2;2;R$ 800.000
Rua Plínio Mota, 59 ; Vila Tolstoi, São Paulo ;240;3;3;7;R$ 890.000
Rua Belarmino Cardoso de Andrade, 151 ; Terceira Divisão de Interlagos, São Paulo ;167;3;4;2;R$ 630.000
Rua Camberra ; Vila Formosa, São Paulo ;256;4;3;1;R$ 1.063.830
Vila Moinho Velho, São Paulo ; SP;220;4;3;2;R$ 750.000
Rua Marechal;do;360;4;5;4;R$ 1.800.000
Jardim Guedala, São Paulo ; SP;354;4;6;4;R$ 2.950.000
Rua Pero Correia ; Vila Mariana, São Paulo ;250;3;3;1;R$ 1.350.000
Avenida Ouro Verde de Minas ; Jardim Imperador (Zona Leste), São Paulo ;186;3;3;2;R$ 750.000
Rodovia Vereador Abel Fabricio Dias, 4010 ; Vila São Benedito, Pindamonhangaba ;44;2;1;2;R$ 180.000
Rua Inglaterra ; Jardim Europa, São Paulo ;756;5;4;10;R$ 37.000.000
Avenida Ibiúna, 736 ; Vila Aricanduva, São Paulo ;500;4;3;4;R$ 1.200.000
Brooklin Paulista, São Paulo ; SP;400;5;6;4;R$ 2.500.000
Sumaré, São Paulo ; SP;627;3;6;6;R$ 4.950.000
Rua Coronel Octávio Azeredo ; Vila Mazzei, São Paulo ;80;3;1;2;R$ 420.000
Rua Drosera, 120 ; Pirituba, São Paulo ;190;3;2;4;R$ 920.000
Jardim Paulista, São Paulo ; SP;1060;5;5;4;R$ 30.000.000
Rua Timbó ; Mooca, São Paulo ;170;3;2;2;R$ 940.000
Rua Prudentópolis, 97 ; Boaçava, São Paulo ;1192;4;3;6;R$ 6.200.000
Vila Gustavo, São Paulo ; SP;200;4;3;1;R$ 550.000
Rua José Clemente ; Jardim Paulista, São Paulo ;724;4;6;3;R$ 8.000.000
Rua Araripe, 145 ; Vila Califórnia, São Paulo ;300;6;3;2;R$ 430.000
Rua Lavras do Sul, 206 ; Vila Carolina, São Paulo ;120;4;3;2;R$ 650.000
Rua Marco Aurélio ; Vila Romana, São Paulo ;160;3;4;2;R$ 940.000
Alameda dos Guainumbis ; Planalto Paulista, São Paulo ;200;4;6;3;R$ 2.014.000
Avenida Júlio Buono, 578 ; Vila Gustavo, São Paulo ;217;5;3;2;R$ 670.000
Rua Monsenhor Moura ; Vila Leopoldina, São Paulo ;167;2;2;2;R$ 820.000
Rua dos Tamanás ; Vila Madalena, São Paulo ;440;4;5;4;R$ 3.950.000
Praça Doutor Carvalho Franco ; Vila Mariana, São Paulo ;250;3;5;2;R$ 2.450.000
Rua Maria Ramos ; Vila São Paulo, São Paulo ;250;5;6;2;R$ 486.000
Rua Kansas, 1326 ; Brooklin Paulista, São Paulo ;70;2;4;2;R$ 800.000
Rua Engenheiro Dolabela ; Jardim Bandeirantes (Zona Norte), São Paulo ;455;4;5;3;R$ 680.000
Rua Francisco Bellazzi, 120 ; Jardim Jaraguá, São Paulo ;80;2;1;1;R$ 245.000
Rua Gonçalo Pires, 304 ; Vila Morse, São Paulo ;125;3;3;1;R$ 610.000
Rua Cautaros ; Itaquera, São Paulo ;185;3;5;5;R$ 460.000
Avenida Avelino Paranho, 119 ; Vila Talarico, São Paulo ;250;5;3;5;R$ 850.000
Rua Manoel João Pereira, 80 ; Vila Matilde, São Paulo ;131;3;2;2;R$ 540.000
Rua Getúlio Vargas Filho, 572 ; Cidade Vargas, São Paulo ;114;3;4;2;R$ 550.000
Rua Bernardo Vieira ; Vila Laís, São Paulo ;104;1;1;1;R$ 270.000
Rua Marechal Bina Machado ; Jardim Marajoara, São Paulo ;360;4;5;4;R$ 1.750.000
Rua Doutor Augusto de Miranda, 1046 ; Vila Pompéia, São Paulo ;98;3;3;1;R$ 1.050.000
Alameda dos Ciprestes ; Chácara Santo Antônio (Zona Sul), São Paulo ;351;4;4;4;R$ 3.480.000
Rua José Clemente ; Jardim Paulista, São Paulo ;700;4;5;4;R$ 7.900.000
Rua Laplace ; Brooklin Paulista, São Paulo ;300;3;5;4;R$ 2.400.000
Jardim Trussardi, São Paulo ; SP;125;3;4;3;R$ 800.000
Rua Aquiramun, 94 ; Alto de Pinheiros, São Paulo ;450;5;6;5;R$ 5.500.000
Vila Madalena, São Paulo ; SP;534;5;6;5;R$ 4.500.000
Jardim dos Estados, São Paulo ; SP;340;4;6;3;R$ 3.000.000
Rua Rússia ; Jardim Europa, São Paulo ;200;3;3;2;R$ 2.700.000
Rua Oscar Pinheiro Coelho ; Caxingui, São Paulo ;110;2;1;3;R$ 620.000
Rua Tagipuru, 168 ; Barra Funda, São Paulo ;170;4;3;2;R$ 1.600.000
Rua Américo Brasiliense ; Alto da Boa Vista, São Paulo ;340;4;6;7;R$ 2.200.000
Rua Catão ; Vila Romana, São Paulo ;235;3;4;3;R$ 1.280.000
Vila Santos, São Paulo ; SP;114;3;1;3;R$ 510.000
Rua Conchilia, 383 ; Vila Albertina, São Paulo ;300;4;6;4;R$ 1.600.000
Rua Antônio Barbosa de Oliveira, 55 ; Vila João Batista, São Paulo ;571;3;2;3;R$ 987.000
Rua João Pereira Santos, 144 ; Jardim Nova Germania, São Paulo ;57;3;1;5;R$ 350.000
Rua Monte Cardoso ; Vila Antonieta, São Paulo ;150;3;2;2;R$ 600.000
Jardim Europa, São Paulo ; SP;693;4;5;6;R$ 16.000.000
Rua Fonseca da Costa ; Bosque da Saúde, São Paulo ;650;4;6;12;"R$ 11.000
                      /Mês"
Rua Prisciliana Duarte, 250 ; Jardim da Saúde, São Paulo ;257;3;4;4;R$ 1.600.000
Rua Agostinho da Mota ; Chácara Santo Antônio (Zona Leste), São Paulo ;140;3;4;4;R$ 900.000
Butantã, São Paulo ; SP;299;4;5;3;R$ 2.140.000
Rua Professor João Marinho ; Vila Mariana, São Paulo ;170;3;4;2;R$ 1.490.000
Jardim Paulistano, São Paulo ; SP;230;2;3;2;"R$ 12.000
                      /Mês"
Rua Pereira Caldas ; Jardim da Glória, São Paulo ;200;3;2;2;R$ 1.000.000
Rua Princesa Leopoldina ; Alto da Lapa, São Paulo ;100;2;2;1;R$ 940.000
Jardim Petrópolis, São Paulo ; SP;243;5;4;2;R$ 1.390.000
Vila Mariana, São Paulo ; SP;228;4;5;3;R$ 2.200.000
Avenida Moaci, 1445 ; Planalto Paulista, São Paulo ;420;5;7;6;R$ 1.900.000
Vila Aparecida, São Paulo ; SP;168;3;1;2;R$ 621.000
Siciliano, São Paulo ; SP;300;3;3;3;R$ 1.300.000
Estrada Velha da Penha, 120 ; Tatuapé, São Paulo ;110;2;1;2;R$ 450.000
Rua Bernardo Alvarenga ; Caxingui, São Paulo ;350;3;4;2;R$ 1.969.000
Rua Doutor Antônio Gontijo de Carvalho ; Jardim Cordeiro, São Paulo ;1200;6;7;8;R$ 6.360.000
Rua Judith ; Vila Madalena, São Paulo ;146;3;2;2;R$ 1.550.000
Rua Catão ; Vila Romana, São Paulo ;130;2;2;1;R$ 688.000
Alto da Lapa, São Paulo ; SP;170;4;5;6;R$ 1.700.000
Rua Manuel Francisco Alves ; Parque Casa de Pedra, São Paulo ;232;8;3;1;R$ 500.000
Rua Luís Dib Zogaib ; Morumbi, São Paulo ;443;4;6;8;R$ 1.800.000
Rua Pamplona ; Jardim Paulista, São Paulo ;156;4;4;2;R$ 2.340.000
Rua Alexandre Von Humboldt, 1 ; Praia Azul, São Paulo ;250;4;4;3;R$ 580.000
Rua Boiçununga, 273 ; São João Clímaco, São Paulo ;200;3;3;2;R$ 570.000
Rua Maestro Elias Lobo ; Jardim Paulista, São Paulo ;542;5;8;4;"R$ 25.000
                      /Mês"
Rua Doutor Valentino Sola ; Jardim da Glória, São Paulo ;231;4;5;6;R$ 1.650.000
Jardim Guedala, São Paulo ; SP;420;3;6;5;R$ 3.500.000
Rua Guararapes ; Lapa, São Paulo ;515;3;5;8;"R$ 30.000
                      /Mês"
Rua Serenata ; Vila Prudente, São Paulo ;140;3;3;2;R$ 490.000
Rua Eduardo da Silva Magalhães ; Parque Continental, São Paulo ;350;5;7;7;R$ 2.500.000
Rua João Pedro, 165 ; Capela do Socorro, São Paulo ;120;3;3;3;R$ 500.000
Rua Alvarenga ; Butantã, São Paulo ;400;4;3;4;"R$ 10.000
                      /Mês"
Planalto Paulista, São Paulo ; SP;361;4;6;5;R$ 1.490.000
Rua Otávio Tarquínio de Sousa, 606 ; Campo Belo, São Paulo ;160;3;4;2;"R$ 4.500
                      /Mês"
Rua Quirino Pucca ; Vila Romana, São Paulo ;65;1;1;2;R$ 480.000
Rua Guira;Guainumbi ;180;4;2;1;R$ 300.000
Rua Teviot ; Vila Nova Conceição, São Paulo ;363;4;6;4;R$ 5.100.000
Jardim Guedala, São Paulo ; SP;431;4;5;5;"R$ 30.000
                      /Mês"
Rua Coronel Melo de Oliveira, 704 ; Perdizes, São Paulo ;184;3;3;2;R$ 1.272.000
Jardim da Glória, São Paulo ; SP;230;3;3;4;R$ 1.500.000
Morumbi, São Paulo ; SP;1800;3;5;6;"R$ 80.000
                      /Mês"
Vila Ida, São Paulo ; SP;437;3;5;5;R$ 1.850.000
Rua Amélia da Silveira, 44 ; Jardim Vivan, São Paulo ;176;3;4;2;R$ 620.000
Rua Alberto Lohnhoff, 60 ; Lauzane Paulista, São Paulo ;88;3;3;1;R$ 455.000
Rua Itália ; Jardim Europa, São Paulo ;713;5;7;6;R$ 26.600.000
Rua Constantino de Sousa ; Campo Belo, São Paulo ;266;6;6;6;R$ 1.750.000
Rua José Ubaldo Lomônaco, 173 ; Jardim da Glória, São Paulo ;430;5;6;4;R$ 3.150.000
Rua Bolívia, 200 ; Jardim América, São Paulo ;1060;4;5;9;R$ 11.489.000
Rua Faustino Augusto César ; Vila Marari, São Paulo ;180;3;3;3;R$ 850.000
Rua Major Newton de Feliciano ; Jardim Aurélia, São Paulo ;480;4;6;6;"R$ 25.000
                      /Mês"
Cidade Jardim, São Paulo ; SP;600;4;6;4;R$ 2.200.000
Rua dos Macunis ; Vila Madalena, São Paulo ;180;4;4;4;R$ 2.400.000
Rua Vergueiro, 5114 ; Cursino, São Paulo ;113;3;2;2;R$ 570.000
Cidade Dutra, São Paulo ; SP;497;3;4;8;R$ 1.300.000
Rua Joaquim Lima de Moraes, 5 ; Santo Amaro, São Paulo ;224;3;4;2;R$ 1.500.000
Rua Jorge Fares, 80 ; Jardim São Luís, São Paulo ;127;3;1;2;R$ 540.000
Água Fria, São Paulo ; SP;190;3;4;4;R$ 750.000
Parque Boturussu, São Paulo ; SP;60;2;5;1;R$ 251.000
Belenzinho, São Paulo ; SP;124;4;3;1;R$ 595.000
Rua Antônio Sales de Camargo, 86 ; Bosque da Saúde, São Paulo ;118;4;5;3;R$ 960.000
Rua Croata ; Vila Ipojuca, São Paulo ;358;3;4;4;R$ 2.160.000
Vila Sônia, São Paulo ; SP;480;3;5;4;"R$ 7.000
                      /Mês"
Rua Emílio Pedutti ; Morumbi, São Paulo ;546;4;7;6;R$ 3.290.000
Rua Açaré, 63 ; Alto de Pinheiros, São Paulo ;252;3;5;4;R$ 2.900.000
Vila Ida, São Paulo ; SP;293;3;5;4;R$ 3.650.000
Jardim Panorama, São Paulo ; SP;639;4;8;4;R$ 3.600.000
Jardim Ampliação, São Paulo ; SP;160;3;4;3;R$ 860.000
Rua Cristiano Viana, 961 ; Cerqueira César, São Paulo ;155;3;1;1;R$ 1.300.000
Lauzane Paulista, São Paulo ; SP;80;2;1;2;R$ 374.500
Cidade Jardim, São Paulo ; SP;1000;5;5;8;"R$ 40.000
                      /Mês"
Rua Aguaçaí ; Pari, São Paulo ;180;3;4;1;R$ 750.000
Rua Muller Carioba, 153 ; Jardim da Saúde, São Paulo ;230;3;2;3;R$ 660.000
Rua Olímpia Lemes da Silva ; Jardim das Vertentes, São Paulo ;260;3;3;2;R$ 940.000
Vila Sabrina, São Paulo ; SP;500;8;5;1;R$ 990.000
Rua Frederico Von Martius ; Ipiranga, São Paulo ;300;3;5;2;R$ 1.350.000
Rua Banibás ; Alto de Pinheiros, São Paulo ;297;4;5;4;"R$ 15.500
                      /Mês"
Alto de Pinheiros, São Paulo ; SP;360;3;5;4;R$ 4.950.000
Vila Olímpia, São Paulo ; SP;120;3;4;2;R$ 1.550.000
Rua Doutora Maria Augusta Saraiva ; Vila Olímpia, São Paulo ;120;3;2;2;R$ 1.550.000
Rua Doutor Fausto de Almeida Prado Penteado ; Jardim Sílvia (Zona Oeste), São Paulo ;1643;4;5;10;R$ 4.500.000
Jardim Franca, São Paulo ; SP;381;4;4;6;R$ 1.250.000
Rua Banibás ; Alto de Pinheiros, São Paulo ;750;5;5;8;R$ 6.500.000
Rua Comendador Gabriel Calfat, 51 ; Jardim Leonor, São Paulo ;554;4;7;4;R$ 2.750.000
Jardim Sílvia (Zona Oeste), São Paulo ; SP;1100;4;6;8;"R$ 30.000
                      /Mês"
Santo Amaro, São Paulo ; SP;250;3;6;2;R$ 1.600.000
Rua Barbalha, 90 ; Alto da Lapa, São Paulo ;229;3;2;2;R$ 949.000
Rua Alfredo Pinheiro ; Parque Continental, São Paulo ;200;3;2;2;R$ 710.000
Rua Salvador Simões, 0 ; Vila Dom Pedro I, São Paulo ;198;3;4;3;R$ 972.000
Rua Alexandre Teixeira, 85 ; Vila Euthalia, São Paulo ;130;2;2;2;R$ 350.000
Rua Irmã Amélia ; Vila Prudente, São Paulo ;147;3;3;3;R$ 820.000
Alameda dos Apetupás, 550 ; Planalto Paulista, São Paulo ;400;4;4;4;R$ 2.100.000
Rua Agrovila ; Campo Belo, São Paulo ;178;3;3;3;R$ 1.250.000
Rua Doutor José Manoel de Figueiredo Netto ; Santana, São Paulo ;66;4;3;1;R$ 590.000
Avenida Piassanguaba ; Planalto Paulista, São Paulo ;260;3;5;2;R$ 2.350.000
Jardim Guedala, São Paulo ; SP;584;4;6;4;R$ 2.950.000
Rua Felício Tarabai, 120 ; Barro Branco (Zona Norte), São Paulo ;215;3;3;4;"R$ 6.000
                      /Mês"
Travessa Palma;de;125;2;1;1;R$ 370.000
Mooca, São Paulo ; SP;80;2;2;4;R$ 870.000
Rua Roncador, 11 ; Vila Corberi, São Paulo ;100;3;1;2;R$ 340.000
Rua Douro ; São Judas, São Paulo ;831;4;8;4;R$ 16.000.000
Jardim América, São Paulo ; SP;617;4;4;8;R$ 9.500.000
Interlagos, São Paulo ; SP;793;4;7;6;"R$ 11.000
                      /Mês"
Alto da Lapa, São Paulo ; SP;180;4;2;4;R$ 1.290.000
Rua Aquiramun ; Alto de Pinheiros, São Paulo ;680;4;6;3;R$ 11.700.000
Vila Gustavo, São Paulo ; SP;129;3;2;2;R$ 750.000
Rua Palmeira;Batuá ;120;3;3;2;R$ 550.000
Rua Maestro Elias Lobo ; Jardim Paulista, São Paulo ;191;3;4;1;R$ 2.590.000
Rua Bariri, 0 ; Vila Carrão, São Paulo ;170;3;2;4;R$ 630.000
Rua Fonseca da Costa ; Bosque da Saúde, São Paulo ;650;4;7;12;"R$ 11.000
                      /Mês"
Rua Lourenço Castanho ; Vila Nova Conceição, São Paulo ;280;4;3;8;R$ 3.995.000
Rua Costa Aguiar ; Ipiranga, São Paulo ;220;3;4;4;R$ 1.490.000
Rua dos Franceses ; Morro dos Ingleses, São Paulo ;1039;6;7;20;R$ 22.000.000
Rua Marechal Santos Barreto ; Vila Prudente, São Paulo ;101;3;4;2;R$ 600.000
Rua Bertioga ; Chácara Inglesa, São Paulo ;140;6;3;2;"R$ 7.500
                      /Mês"
Rua Helena Ricceli Luchetti, 190 ; Parque Savoy City, São Paulo ;160;3;2;2;R$ 580.000
Sumaré, São Paulo ; SP;631;4;5;6;R$ 3.500.000
Jardim Franca, São Paulo ; SP;300;4;6;4;R$ 1.600.000
Rua Dinamarca, 136 ; Jardim Europa, São Paulo ;600;7;7;6;R$ 10.600.000
Pacaembu, São Paulo ; SP;306;4;3;2;R$ 2.000.000
Travessa Doutor Ezequiel Antunes de Oliveira, 103 ; Vila Nova Conceição, São Paulo ;120;3;4;3;R$ 2.850.000
Rua Ximbó, 410 ; Aclimação, São Paulo ;140;4;3;4;R$ 800.000
Rua Chico de Paula, 514 ; Nossa Senhora do Ó, São Paulo ;354;5;5;6;R$ 1.350.000
Rua Gregório Lazzarini, 55 ; Jardim Três Marias, São Paulo ;120;3;3;4;R$ 380.000
Rua Professor Guilherme Belfort Sabino, 230 ; Campininha, São Paulo ;164;2;1;1;R$ 440.000
Rua Califórnia ; Cidade Monções, São Paulo ;120;4;3;2;R$ 780.000
Rua Thomaz Antônio Villani, 50 ; Vila Santa Maria, São Paulo ;140;3;2;3;R$ 780.000
Rua das Begônias ; Cidade Jardim, São Paulo ;580;4;5;5;"R$ 10.000
                      /Mês"
Rua Rodrigues de Campos Leite ; Vila Ipojuca, São Paulo ;135;3;4;2;R$ 799.000
Rua Guaonés ; Jardim Guedala, São Paulo ;550;4;6;6;"R$ 10.000
                      /Mês"
Rua Nélio Batista Guimarães, 0 ; Parque Boturussu, São Paulo ;171;3;1;4;R$ 420.000
Jardim Santo Amaro, São Paulo ; SP;240;2;4;6;R$ 1.800.000
Rua Ipomeias, 289 ; Vila Bela, São Paulo ;36;2;1;1;R$ 190.000
Rua Arapuã ; Vila Guarani (Z Sul), São Paulo ;180;3;3;2;R$ 559.000
Jardim Ampliação, São Paulo ; SP;160;3;4;3;R$ 799.000
Rua Juvenal Galeno ; Jardim da Saúde, São Paulo ;388;4;1;7;"R$ 6.000
                      /Mês"
Rua Kansas ; Brooklin Paulista, São Paulo ;200;3;1;10;R$ 2.240.000
Rua Amâncio Klein ; Vila das Belezas, São Paulo ;160;6;3;4;R$ 550.000
Vila Matilde, São Paulo ; SP;120;3;2;1;R$ 530.000
Vila Ida, São Paulo ; SP;255;3;5;3;R$ 2.200.000
Rua Dorandia, 62 ; Jardim Brasil (Zona Norte), São Paulo ;100;4;3;4;R$ 600.000
Rua Baiás, 22 ; Boaçava, São Paulo ;400;3;4;4;"R$ 15.000
                      /Mês"
Avenida George Saville Dodd ; Jardim Guedala, São Paulo ;770;4;1;6;R$ 7.000.000
