Logradouro;Bairro;Preço (R$);Número;Mínimo Área (m²);Máximo Área (m²);Mínimo Quartos;Máximo Quartos;Mínimo Banheiros;Máximo Banheiros;Mínimo Vagas;Máximo Vagas
Rua Luisiania;Brooklin Paulista;1.180.000;780;180;180;3;3;4;4;2;2
Rua Rocinha;Bosque da Saúde;1.800.000;52;195;195;4;4;3;3;2;2
Rua Francisco de Paula Brito;Planalto Paulista;2.190.000;306;250;250;3;3;3;3;4;4
Rua Otávio Tarquínio de Souza;Campo Belo;3.000.000;822;300;300;4;4;3;3;3;3
Rua Barão do Triunfo;Brooklin Paulista;1.914.893;818;220;220;2;2;1;1;2;2
Rua Lourenço Marques;Vila Olímpia;1.200.000;180;82;82;3;3;2;2;1;1
Rua dos Macunis;Vila Madalena;1.800.000;799;240;240;3;3;1;1;5;5
Rua Francisco Gomes da Silva Prado;Bosque da Saúde;1.100.000;125;257;257;4;4;1;1;4;4
Rua Porangaba;Bosque da Saúde;1.332.000;161;200;200;4;4;1;1;4;4
Rua Potenji;Vila Mariana;1.950.000;437;280;280;3;3;2;2;2;2
Rua Murajuba;Alto de Pinheiros;4.200.000;113;439;439;4;4;1;1;3;3
Rua Califórnia;Cidade Monções;9.396.000;37;527;527;4;4;6;6;4;4
Rua Maestro Chiaffarelli;Jardim Paulista;3.900.000;402;260;260;3;3;1;1;4;4
Praça Doutor Silas Botelho;Sumaré;2.000.000;123;378;378;3;3;3;3;2;2
Rua Eunice Weaver;Jardim Anália Franco;1.219.000;235;150;150;3;3;2;2;3;3
Rua Mário;Vila Romana;1.200.000;176;212;212;2;2;1;1;2;2
Rua Caramuru;Saúde;1.700.000;1397;200;200;4;4;1;1;3;3
Rua Guaraiúva;Cidade Monções;2.000.000;904;300;300;4;4;1;1;4;4
Rua Comendador Júlio Pereira Lopes;Jardim da Glória;1.350.000;222;380;380;4;4;3;3;5;5
Rua Abegoaria;Jardim das Bandeiras;2.250.000;213;350;350;4;4;3;3;4;4
Rua Camundo;Planalto Paulista;1.915.000;119;365;365;7;7;1;1;3;3
Rua Senador César Lacerda Vergueiro;Sumarezinho;3.500.000;222;248;248;4;4;1;1;5;5
Rua dos Americanos;Barra Funda;840.000;687;150;150;3;3;2;2;1;1
Rua Coronel Irlandino Sandoval;Jardim Paulistano;5.050.000;174;390;390;4;4;1;1;5;5
Rua Diana;Perdizes;1.000.000;922;122;122;4;4;1;1;1;1
Rua Conselheiro Brotero;Barra Funda;745.000;121;170;170;3;3;2;2;2;2
Rua Major Alberto Barbosa;Penha de França;550.000;37;125;125;3;3;2;2;2;2
Rua Imbocuí;Vila Moreira;1.000.000;342;167;167;2;2;2;2;3;3
Rua Aleixo Jorge;Sumaré;1.500.000;190;150;150;4;4;1;1;2;2
Rua Peixes;Jardim Vila Carrão;295.000;236;386;386;3;3;2;2;6;6
Rua Dobrada;Casa Verde;1.400.000;196;306;306;4;4;1;1;4;4
Rua Moacir Miguel da Silva;Jardim Bonfiglioli;900.000;606;150;150;3;3;3;3;3;3
Rua Dona Inácia Uchôa;Vila Mariana;850.000;40;154;154;3;3;2;2;2;2
Rua Décio Reis;Alto de Pinheiros;4.800.000;330;430;430;3;3;6;6;4;4
Rua Jorge Tibiriçá;Vila Mariana;1.990.000;907;181;181;4;4;4;4;4;4
Rua Jarinu;Cidade Mãe do Céu;695.000;490;121;121;2;2;1;1;1;1
Rua Geórgia;Brooklin Paulista;1.500.000;370;230;230;3;3;2;2;2;2
Rua Araioses;Sumarezinho;1.915.000;87;160;160;4;4;4;4;2;2
